Reference Key;Default Language;pl
msg.error.atleast.one.primary.ticket.class.needed;Select at least one primary ticket.;Wybierz co najmniej jeden główny bilet.
msg.event.sign.in.web;Sign In (Web);Zaloguj się (Web)
msg.event.sign.in.app;Sign In (Mobile App);Zaloguj się (aplikacja mobilna)
lbl.session.check.in;Session Check-In;Rejestracja uczestnika
error.event.payment.complete.order.failed;Your payment has been completed, but due to a technical glitch, the order has not been placed. If you do not receive an order confirmation email within the next 30 minutes, please contact your event organizer for assistance.;Twoja płatność została zrealizowana, ale z powodu problemu technicznego zamówienie nie zostało złożone. Jeśli w ciągu 30 minut nie otrzymasz potwierdzenia zamówienia, skontaktuj się z organizatorem wydarzenia.
lbl.event.day;Event Day;Dzień wydarzenia
msg.error.field.required;Please fill {fieldName};Wypełnij pole {fieldName}
msg.error.max.form.field.length.reached;Wartość pola formularza nie może przekraczać {maxLengthLimit} znaków;Wartość pola formularza nie może przekroczyć {maxLengthLimit} znaków
msg.error.form.field.not.valid;Pole formularza zawiera nieprawidłową wartość;Pole formularza zawiera nieprawidłową wartość
msg.err.accept.poc;Please indicate that you've read and consented to the purpose of data collection on this form.;Potwierdź, że przeczytałeś i wyraziłeś zgodę na cel zbierania danych w tym formularzu.
msg.error.select.field.empty;Please select an option for {fieldName};Wybierz opcję dla {fieldName}
msg.error.rating.field.value;Please select rating field value which range between minimum and maximum value.;Wybierz wartość oceny mieszczącą się w podanym zakresie.
msg.error.min.one.type.required;Please select at least one option;Wybierz co najmniej jedną opcję
msg.error.upload.field.empty;Please select a file to upload;Wybierz plik do przesłania
msg.error.form.field.minimum.value.enter;Please enter at least {minLengthLimit} characters in the form field;Wprowadź co najmniej {minLengthLimit} znaków w polu formularza
msg.error.form.field.min.value.invalid;Field value should be greator than {minValue};Wartość pola powinna być większa niż {minValue}
msg.error.form.field.max.value.invalid;Field value should be less than {maxValue};Wartość pola powinna być mniejsza niż {maxValue}
msg.error.form.number.field.digits.exceeded;Maximum number of digits should not exceed {digitsLength}.;Maksymalna liczba cyfr nie może przekroczyć {digitsLength}.
msg.error.date.field.empty;Please enter the {fieldName};Wprowadź {fieldName}
msg.error.form.date.value.is.before.start.date;Value cannot be greather than start date;Wartość nie może być większa niż data początkowa
msg.error.form.select.value.invalid;Select field value is not valid;Wybrana wartość pola jest nieprawidłowa
msg.error.form.select.value.max.length.reached;Field value cannot exceed 250 characters;Wartość pola nie może przekraczać 250 znaków
msg.error.form.select.less.than.min;Values selected should be greater than or equal {minSelectionCount};Wartości wybrane muszą być większe lub równe {minSelectionCount}
msg.error.form.address.name.empty;Address name cannot be empty;Nazwa adresu nie może być pusta
msg.error.form.address.street.empty;Street cannot be empty;Ulica nie może być pusta
msg.error.form.address.city.empty;City cannot be empty;Miasto nie może być puste
msg.error.form.address.state.empty;State cannot be empty;Stan nie może być pusty
msg.error.form.address.country.empty;Country cannot be empty;Kraj nie może być pusty
msg.error.form.address.country.exclude.exceed;You can't exclude all countries from the list.;Nie możesz wykluczyć wszystkich krajów z listy.
msg.error.form.address.zipcode.empty;Please enter the zip code;Wprowadź kod pocztowy
msg.error.form.address.zipcode.not.valid;Please enter a valid zip code;Wprowadź poprawny kod pocztowy
msg.error.form.field.country.not.valid;Country field values are not valid;Wartości pola kraj są nieprawidłowe
msg.error.for.editor.limit.reached.custom.form;Form response limit reached for this email.;Limit odpowiedzi na formularz dla tego adresu e-mail został osiągnięty.
msg.error.form.default.time.out.of.range;The default time must be within the allowed time range.;Domyślny czas musi mieścić się w dozwolonym zakresie.
lbl.slide.no;Slide {number};Slajd {number}
page.title;{{eventName}} - {{pageName}};{{eventName}} - {{pageName}}
lbl.a11y.prev.exhibitor;Previous Exhibitor;Poprzedni wystawca
lbl.a11y.next.exhibitor;Next Exhibitor;Następny wystawca
lbl.a11y.lang.switch.btn;Language Switch Button;Przycisk zmiany języka
lbl.a11y.notification.btn;Notification Button;Przycisk powiadomień
lbl.a11y.user.profile.btn;User Profile Button;Przycisk profilu użytkownika
lbl.a11y.hamburger.btn;Hamburger Button;Przycisk hamburgera
lbl.a11y.download.app.store;Download on App Store;Pobierz w App Store
lbl.a11y.download.play.store;Download on Play Store;Pobierz w Play Store
lbl.a11y.close.nav.menu;Close Navigation Menu;Zamknij menu nawigacji
lbl.a11y.event.date;Event Date;Data wydarzenia
lbl.a11y.event.time;Event Time;Czas wydarzenia
lbl.a11y.event.countdown;Event Countdown;Odliczanie do wydarzenia
lbl.a11y.click.view.session;Click to View the {sessionName} {featuredLbl};Kliknij, aby zobaczyć {sessionName} {featuredLbl}
lbl.a11y.prev.day;Go to Previous Day;Przejdź do poprzedniego dnia
lbl.a11y.next.day;Go to next Day;Przejdź do następnego dnia
lbl.a11y.view.session;Click to View the Session {sessionName};Kliknij, aby zobaczyć sesję {sessionName}
lbl.a11y.click.view.speaker;Click to View the Speaker {speakerName};Kliknij, aby zobaczyć prelegenta {speakerName}
lbl.a11y.click.view.sponsor;Click to View the Sponsor {sponsorName};Kliknij, aby zobaczyć sponsora {sponsorName}
lbl.a11y.exhibitor.page;Exhibitor Page;Strona wystawcy
lbl.a11y.face.search;Face Search;Wyszukiwanie twarzy
lbl.a11y.qr.code;QR Code;Kod QR
lbl.a11y.preview.print.ticket;Preview Ticket;Podgląd biletu
lbl.a11y.sponsorship.details;Sponsorship Details;Szczegóły sponsoringu
lbl.a11y.exhibitor.space;Exhibitor Space;Powierzchnia wystawcy
lbl.a11y.video.play.btn;Play Video;Odtwórz wideo
lbl.a11y.leads.filter;Filter Leads;Filtruj leady
lbl.a11y.leads.sort;Sort Leads;Sortuj leady
lbl.a11y.meetings.settings;Meeting Settings;Ustawienia spotkania
lbl.a11y.hide.date.info;Hide Date;Ukryj datę
lbl.a11y.meetings.filter;Filter Meetings;Filtruj wydarzenia
lbl.a11y.detail.note;View Detailed Notes;Zobacz szczegółowe notatki
lbl.a11y.submit.comment;Submit Comment;Wyślij komentarz
lbl.a11y.next.nav;Next {navLabel};Dalej {navLabel}
lbl.a11y.prev.nav;Previous {navLabel};Poprzedni {navLabel}
lbl.a11y.upload.expo.logo;Upload Exhibitor Logo;Prześlij logo wystawcy
lbl.a11y.change.expo.logo;Change Exhibitor Logo;Zmień logo wystawcy
lbl.a11y.upload.expo.banner;Upload Exhibitor Banner Image;Prześlij baner wystawcy
lbl.a11y.change.expo.banner;Change Exhibitor Banner Image;Zmień baner wystawcy
lbl.a11y.click.view.expo;Click to View the Exhibitor {expoName};Kliknij, aby zobaczyć wystawcę {expoName}
lbl.a11y.click.view.member;Click to View the Booth Member {memberName};Kliknij, aby zobaczyć uczestnika stoiska {memberName}
lbl.a11y.preview.file;Preview File;Podgląd pliku
lbl.a11y.edit.your.tkt;Edit Your Ticket;Edytuj swój bilet
lbl.a11y.download.your.tkt;Download Your Ticket;pobierz swój bilet
lbl.a11y.print.your.tkt;Print Your Ticket;wydrukuj swój bilet
lbl.a11y.speaker.view.profile;View Speaker Profile {speakerName};Zobacz profil prelegenta {speakerName}
lbl.a11y.click.gallery.image;Click to View Image {imageName} from Gallery;Kliknij, aby zobaczyć obraz {imageName} z galerii
lbl.a11y.click.add.gallery.image;Click to Add Image to List;Kliknij, aby dodać obraz do listy
lbl.a11y.click.switch.tab;Click to Switch Tab;Kliknij, aby przełączyć zakładkę
lbl.a11y.click.close;Click to Close;Kliknij, aby zamknąć
lbl.a11y.availability.list;Availability List;Lista dostępności
lbl.a11y.edit.note;Edit Note;Edytuj notatkę
lbl.a11y.delete.note;Delete Note;Usuń notatkę
lbl.a11y.view.fav;View {favName};Zobacz {favName}
lbl.a11y.open.file;Open {fileName} File;Otwórz plik {fileName}
lbl.a11y.edit.order;Edit Order;Edytuj zamówienie
lbl.a11y.update.transaction.id;Update Transaction ID;Zaktualizuj identyfikator transakcji
lbl.a11y.expo.form;Exhibitor Profile Form;Formularz profilu wystawcy
lbl.a11y.leave.booth;Leave Booth;Opuść stoisko
lbl.a11y.enter.placeholder;Enter {fieldName};Wpisz {fieldName}
lbl.a11y.close.popup;Close Popup;Zamknij popup
lbl.a11y.enable.availability;Enable {day} Availability;Włącz dostępność w {day}
lbl.a11y.delete.video;Delete Video;Usuń wideo
lbl.a11y.edit.video;Edit Video;Edytuj wideo
lbl.a11y.delete.availability;Delete Availability;Usuń dostępność
lbl.interaction;Interaction;Interakcja
lbl.navigation;Navigation;Nawigacja
lbl.navigate.header;Header (Nav Bar);Nagłówek (pasek nawigacji)
lbl.navigate.footer;Footer;Stopka
lbl.home.page;Home Page;Strona główna
lbl.navigate.user.profile;User Profile (Signed-in State);Profil użytkownika (stan zalogowania)
lbl.activate.link.button;Activate Link or Button;Aktywuj link lub przycisk
msg.spacebar.actions;Next Section/ Activate Button/ Expand Menu;Następna sekcja/ Aktywuj przycisk/ Rozwiń menu
lbl.previous.section;Previous Section;Poprzednia sekcja
lbl.close.modals.dialogs;Close Modals/Dialogs;Zamknij okna/modalne
lbl.navigate.list.up;Navigate List Up;Przejdź listę w górę
lbl.navigate.list.down;Navigate List Down;Przejdź w dół listy
msg.navigate.forward;Forward through Interactive Sections;Przejdź dalej przez interaktywne sekcje
msg.navigate.backward;Backward through Interactive Sessions;Wstecz przez interaktywne sesje
lbl.all.shortcuts;All;Wszystko
msg.no.search.results;No search results found;Nie znaleziono wyników wyszukiwania
lbl.keyboard.shortcuts;Keyboard Shortcuts;Skróty klawiaturowe
lbl.search.shortcuts;Search Shortcuts;Skróty wyszukiwania
lbl.a11y.click.change.date;Click to Change Data;Kliknij, aby zmienić dane
lbl.a11y.click.change.time;Click to Change Time;Kliknij, aby zmienić czas
lbl.gamification.starts.in;Gamification Starts In;Gamifikacja zaczyna się za
lbl.gamification.ends.in;Gamification Ends In;Koniec grywalizacji za
msg.game.dashboard.screenname.and.password.verify.desc;Enter your preferred Leaderboard Page Name and the Password provided by the event organizer to access the Gamification Leaderboard;Wprowadź wybraną nazwę strony rankingu oraz hasło otrzymane od organizatora wydarzenia, aby uzyskać dostęp do rankingu grywalizacji
msg.err.game.dashboard.password.mismatch;The Game Dashboard password does not match.;Hasło do panelu gry nie pasuje.
msg.game.leaderboard.no.winners.info;There are no winners to show;Brak zwycięzców do wyświetlenia
msg.gamification.paused.at.the.moment;Gamification has been paused by the event organizer. Please check back later to view the leaderboard.;Organizator wydarzenia wstrzymał grywalizację. Sprawdź później, aby zobaczyć ranking.
lbl.clear.search;Clear Search;Wyczyść wyszukiwanie
lbl.user.profile;User Profile;Profil użytkownika
lbl.invoke.shortcuts;Invoke Shortcuts;Wywołaj skróty
lbl.list.view;List View;widok listy
lbl.event.copyright.content;@ Copyright {eventYear} {eventName};© {eventYear} {eventName}
lbl.leads.booth.members;Leads by Booth Members;Leady według członków stoiska
lbl.lead.details;Lead Details;Szczegóły leada
lbl.about.partner;About Partner;O partnerze
lbl.view;View;Zobacz
lbl.enter.channel.name;Enter Channel Name;Wpisz nazwę kanału
lbl.enter.your.mail;Enter Your Email;Wpisz swój e-mail
lbl.try.another.mail;Try Another Mail;Wypróbuj inny mail
lbl.recent.events;Recent Events;Ostatnie wydarzenia
lbl.loading.messages;Loading messages...;Ładuję wiadomości...
lbl.loading.availability;Loading availability...;Ładuję dostępność...
lbl.no.comments.yet;No Comments Yet;Brak komentarzy
lbl.profile.not.found;Profile Not Found;Profil nie znaleziony
lbl.no.speakers.found;No Speakers Found;Nie znaleziono prelegentów
lbl.loading.event.data;Loading Event Data;Ładowanie danych wydarzenia
msg.close.app.contact.support;Please close the app and try again. If the problem persists, contact support.;Zamknij aplikację i spróbuj ponownie. Jeśli problem będzie się powtarzał, skontaktuj się z pomocą techniczną.
lbl.meeting.preferences;Meeting Preferences;Preferencje spotkania
lbl.availability.meetings;Availability for Meetings;Dostępność na spotkania
msg.availability.1on1.meetings;Let participants know that you'll be available for 1-on-1 meetings;Poinformuj uczestników, że będziesz dostępny na spotkania 1-na-1
msg.configure.meeting.duration;All your meetings will be automatically set to the duration provided here. You can always choose to extend or end a meeting beyond the planned duration.;Wszystkie Twoje spotkania będą automatycznie ustawione na podany tutaj czas trwania. Zawsze możesz przedłużyć lub zakończyć spotkanie poza zaplanowanym czasem.
msg.config.availability.meetings;Configure your availability for meetings during the event. Event participants can choose to book meetings with you during this time;Skonfiguruj swoją dostępność na spotkania podczas wydarzenia. Uczestnicy wydarzenia mogą umawiać z Tobą spotkania w tym czasie
lbl.suggestion.interest;Suggestions Based on Your Interests;Propozycje na podstawie Twoich zainteresowań
lbl.speaker.overview;Speaker Overview;Przegląd prelegenta
lbl.brochures;Brochures;Broszury
lbl.sponsor.details;Sponsor Details;Szczegóły sponsora
lbl.visit.website;Visit Website;Odwiedź stronę
msg.lead.insights;Here are your lead insights;Oto Twoje statystyki leadów
lbl.lead.scanned;Leads Scanned;Zeskanowane leady
lbl.export;Export;Eksportuj
lbl.add.lead;Add Lead;Dodaj leada
lbl.login.to.view.profiles;Login to View Profiles;Zaloguj się, aby zobaczyć profile
msg.err.max.selection.exceeded;You've exceeded the maximum number of selections allowed for this field.;Przekroczyłeś maksymalną liczbę wyborów dla tego pola.
lbl.max.selections;Maximum Selections: {maxSelections};Maksymalna liczba wyborów: {maxSelections}
lbl.offer.ends.on;Offer Ends On;Oferta kończy się
lbl.limited.quantity;Limited Quantity;Ograniczona ilość
