Reference Key;Default Language;pl
msg.err.rsvp.response.record.failed;Unable to record the RSVP response. Please contact support@zohobackstage.com for assistance;
lbl.exhibitor.tags;Exhibitor Tags;
lbl.manage.tags;Manage Tags;
lbl.exhibitor.tags.count;Exhibitor Tags ({count});
lbl.exhibitor.categories.count;Exhibitor Categories ({count});
lbl.category;Category;
lbl.tag;Tag;
lbl.results;Results;
msg.rsvp.only.invited.guests.allowed.disable.info;Only invited guests are allowed to RSVP or register for this event. Please contact the event organizer if you'd like to request an invitation.;
msg.rsvp.guest.response.submitted.disable.info;It looks like you've already submitted your RSVP for this event, or you're registered as an attendee. If you need to make changes, please contact the event organizer.;
lbl.collateral;Collateral;
lbl.carousel.slide;Slide {currentSlide} of {totalSlide};
lbl.legends;Legends;
lbl.exhibitor.list;Exhibitor List;
view.full.page;View in Full Page;
lbl.exhibitor.details;Exhibitor Details;
lbl.select.floor;Select Floor;
lbl.submit.abstract;Submit Abstract;
abstract.management.yet.to.start;Abstract submission hasn’t started yet.;
lbl.abstract.topics;Abstract Topics;
msg.abstract.topics.section.description;See where your session would fit into one of our content themes at our event.;
abstract.topics.yet.to.added;Abstract topics will be shared soon. Please check back later.;
msg.abstract.intro.section.title;About the Call for Papers;
msg.abstract.timeline.title;Call for Speakers;
msg.abstract.timeline.sub.title;Share your expertise and inspire our audience.;
abstract.reviewer.submission.empty.description;Your assigned reviews will appear here.;
lbl.submission.info;Submission Info;
lbl.author.info;Author Info;
lbl.start.review;Start Review;
lbl.resume;Resume;
lbl.author;Author;
lbl.reviewer;Reviewer;
lbl.on.hold.for.changes;On Hold: Pending Change;
lbl.in.review;In Review;
lbl.re.submitted;Re-Submitted;
lbl.yet.to.review;Yet to Review;
lbl.convert.to.session;Convert to Session;
msg.reason.for.abstract.submission;Reason for {statusLabel};
lbl.author.details;Author Details;
lbl.submission.type;Submission Types;
lbl.abstract.submission.not.started;Submissions have not started yet;
lbl.co.author.details;Co-Author Details;
lbl.version.no;Version-{version};
msg.last.modified.n.ago;Last modified {time};
msg.error.email.provided.not.logged.in;Please provide your logged in email;
lbl.withdrawn.by.submitter;Withdrawn by Submitter;
lbl.withdrawn;withdrawn;
lbl.submitted;Submitted;
lbl.assigned;Assigned;
lbl.off-topic;Off Topic;
msg.abstract.author.form.title;Abstract Author Form;
lbl.add.co.author;Add Co-Author;
lbl.manage.submission;Manage Submissions;
lbl.my.abstract.reviews;My Reviews;
lbl.add.co.author;Add Co-Author;
msg.last.date.for.submission;Last date for submission;
msg.abstract.submission.for.event;"Abstract submission for <h4 class=""bold-font"">{eventName}</h4>";
msg.question.reach.out.us;"For questions, reach out to us at: <span class=""bold-font"">{contactEmail}</span>";
lbl.abstract.user.registration;Author Registration;
msg.abstract.user.registration.model.sub.title;Register to submit and manage your abstract.;
msg.abstract.user.mail.sent.success;We've sent a magic link to <strong>{emailId}</strong>. Please check your inbox and click the link in the email to sign in.;
msg.select.your.preference;Select Your Preference;
lbl.your.review;Your Review;
lbl.your.response;Your Response;
msg.comment.about.abstract;Comments About Abstract;
msg.reviewer.submission.comment.shown.info;This reason will be shared with both the event organizer and the submitter.;
msg.yet.to.review.submission;Submission yet to be reviewed.;
lbl.all.submissions;All Submissions;
lbl.dear.user.name;Dear {userName};
lbl.back.submission.list;Back to Submission List;
lbl.submission.saved;Submission Saved;
msg.draft.submission.save.success;Your submission has been saved as a draft. You can submit it anytime before the deadline.;
lbl.reason.for.withdrawal;Reason for Withdrawal;
msg.abstract.submitted.success.info;Your abstract has been submitted successfully. You may edit or withdraw your submission before the deadline.;
msg.abstract.submitted.success.title;Abstract Submitted Successfully;
msg.withdrawal.confirmation.question;Are you sure you want to withdraw this submission?;
msg.manage.submission.locate.content;To manage your submissions, go to <b>User Avatar > Manage Submission.</b>;
lbl.withdraw.submission;Withdraw Submission;
lbl.edit.submission;Edit Submission;
msg.withdraw.submission.mail.send.info;The above reason will be sent to the event organizer via email.;
lbl.withdraw;Withdraw;
msg.delete.submission.confirmation.question;Are you sure you want to delete this submission?;
lbl.back.to.topic;Back to Topics;
lbl.save.as.draft;Save as Draft;
lbl.submit.for.review;Submit for Review;
msg.withdraw.reason.shared.with.eo;This reason will be shared with the event organizer.;
lbl.review;Review;
lbl.success;Success;
msg.submission.marked.as.off.topic;"Your submission has been marked as ""Off-Topic.""";
msg.submission.on.hold.changes.info;Your paper requires a few changes for further evaluation. Please make the suggested edits and resubmit your submission.;
msg.submission.approved.info;Your submission has been approved.;
lbl.reviewer.comment;Reviewer's Comment;
lbl.instruction.review;Instructions to Reviewers;
lbl.review.start.date;Review Start Date;
lbl.review.end.date;Review End Date;
lbl.review.edit.last.date;Last Date to Edit Reviews;
lbl.welcome.to.the.event;"Welcome to <h6 class=""bold-font mgt2"">{eventName}</h6>";
msg.abstract.reviewer.onboard.model.context;Welcome to the <b>{eventName}</b> abstract reviewer team! <br> <br> We’re thrilled to have your expertise on board and look forward to your valuable contributions.;
lbl.sort;Sort;
msg.proceed.to.feedback;Proceed to Feedback;
lbl.conflict.of.interest;Conflict Of Interest;
lbl.abstract.details;Abstract Details;
lbl.choose.topic;Choose Topic;
lbl.read.more;Read More;
lbl.submission.edit.review;Edit Review;
lbl.topic;Topic;
lbl.edit.abstract;Edit Abstract;
msg.abstract.review.success.modal.content;You can track your status by clicking on <b>User Avatar > My Reviews</b>;
msg.thanks.for.submitting.feedback;Thanks for submitting your feedback!;
msg.abstract.submission.yet.to.start.tooltip;Submission starts on {formattedDate};
msg.abstract.submission.closed.tooltip;Submissions closed on {formattedDate};
msg.submission.saved.draft.success.first.info;Your submission has been saved as a draft. You can submit it anytime before the deadline.;
lbl.submission.deadline;Submission Deadline;
lbl.submit;Submit;
lbl.withdrawal;Withdrawal;
lbl.days.left;Days to Go;
lbl.kb.size;KB;
lbl.mb.size;MB;
lbl.gb.size;GB;
lbl.approved;Approved;
lbl.under.review;Under Review;
lbl.status.chart;Status Chart;
lbl.re.assigned;Re-assigned;
lbl.timeline;Timeline;
lbl.draft;Draft;
lbl.decision.deadline;Decision Deadline;
lbl.resubmitted.for.review;Re-Submitted for Review;
lbl.abstract.submission.review.form.title;Submission Review Form;
lbl.marked.as.off.topic;Marked as Off-Topic;
lbl.abstract.submission.closed;Submission Closed;
lbl.reviewer.important.dates;Reviewer's Important Dates;
msg.abstract.submission.withdrawn.desc;Abstract voluntarily withdrawn from consideration;
msg.abstract.submission.draft.desc;Initial state where the abstract is being prepared;
msg.abstract.submission.submitted.desc;Abstract has been submitted for review;
msg.abstract.submission.assigned.desc;Abstract is currently being evaluated by reviewers;
msg.abstract.submission.re.assigned.to.reviewer;Abstract has been re-assigned to different reviewers;
msg.abstract.submission.under.review.desc;Abstract is currently being evaluated by reviewers;
msg.abstract.submission.on.hold.desc;Changes requested by reviewers;
msg.abstract.off.topic.desc;Abstract does not align with conference themes/topics;
msg.abstract.resubmitted.for.review.desc;Revised abstract submitted after requested changes;
msg.abstract.conflict.of.interest.desc;Abstract has conflict of interest issues;
msg.abstract.review.completed.desc;Review process for the abstract is completed;
msg.enter.valid.description;Please enter a valid description for the field;
msg.submission.deleted.success;Abstract submission deleted successfully.;
msg.abstract.approved.desc;Abstract has been accepted;
msg.abstract.submission.not.allowed.to.delete;You cannot delete this abstract submission as it has already been submitted for review. please contact the event organizer.;
msg.only.one.presenter.field.can.be.selected;Only one presenter field can be selected;
msg.co.author.limit.reached;This submission allows a maximum of {coAuthorLimit} co-authors;
msg.comments.about.abstract;Comments About the Abstract:;
lbl.resubmit;Resubmit;
msg.abstract.re.submitted.success.title;Abstract Revised and Resubmitted Successfully;
msg.abstract.re.submitted.success.info;Your submission has been updated with the new version and resubmitted.;
lbl.instruction.for.reviewers;Instructions for Reviewers;
msg.submission.completed.info;Your submission has been completed.;
msg.submission.rejected.info;Your submission has been rejected.;
msg.abstract.rejected.desc;Abstract has been rejected;
msg.abstract.convert.to.session;Abstract has been converted to a session;
msg.saved.as.draft;Saved As Draft;
msg.abstract.submission.successful.info;Abstract submission submitted successfully.;
msg.success.abstract.submission.updated;Abstract submission updated successfully.;
lbl.rate.submission;Rate Submission;
topic.submission.limit.reached;Topic is closed for submissions.;
msg.coauthor.email.not.be.same.author.email;The co-author's email cannot be the same as the author's email.;
msg.update.submission.review.draft.success;Your submission response has been saved as a draft.;
msg.update.submission.review.success;Your submission response has been updated successfully.;
msg.abstract.important.dates.yet.to.configured;Important dates for this abstract will be shared soon. Please check back later.;
msg.update.submission.comment.error;Unable to save your submission comment. Please try again later.;
msg.review.end.date.tooltip.for.reviewer;Review period has ended. Reviewing is no longer possible.;
msg.call.for.speaker.opening.date;Opening Date;
msg.call.for.speaker.closing.date;Closing Date;
msg.unable.to.update.submission.form;Unable to update submission form. Please try again later.;
msg.submission.edit.disabled;This option is no longer available. Please contact the event organizer for further details.;
msg.not.allowed.to.submit.submission;You cannot submit an abstract for this event because submission is not allowed at this time. Please contact the event organizer for further details.;
msg.not.allowed.to.update.submission;You cannot update the submission for this event because submission update is not allowed at this time. Please contact the event organizer for further details.;
msg.update.submission.review.error;Unable to save your submission review data. Please try again later.;
msg.error.submission.comment.too.long;Submission comment can't exceed 50000 characters;
msg.error.submission.comment.invalid;Submission comment contains one or more invalid characters.;
msg.error.submission.withdraw.comment.enter;Please enter the reason for withdrawal;
msg.review.submission.no.longer.available;This submission is no longer available. Please contact the event organizer for further details.;
msg.not.allowed.to.submit.abstract.tooltip;You cannot submit an abstract for this event. Please contact the event organizer for further details.;
msg.enter.submission.comment;You have not entered the comment for submission;
review.update.error.date.ended;Editing is no longer available because the review end date or the edit end date has passed.;
review.submission.error.before.started.or.ended;Sorry, you cannot submit a review right now because the review start date has not yet begun or the review end date has passed.;
lbl.audio;Audio;
lbl.share.screen;Share Screen;
lbl.unmute.audio;Unmute Audio;
lbl.mute.audio;Mute Audio;
lbl.unmute.video;Turn on Video;
lbl.mute.video;Turn off Video;
lbl.record;Record;
lbl.accessibility.option;Accessibility Options;
lbl.text.size;Text Size;
lbl.aa-;Aa-;
lbl.aa+;Aa+;
lbl.100;100%;
lbl.contrast;Increased Contrast;
lbl.saturation;Saturation;
lbl.low;Low;
lbl.default;Default;
lbl.high;High;
lbl.color.adjustments;Color Adjustments;
lbl.b&w;B&W;
lbl.sepia;Sepia;
lbl.big.cursor;Big Cursor;
lbl.level;Level {value};
lbl.reading.guide;Reading Guide;
lbl.underline.links;Underline Links;
lbl.a11y.toggle.lbl.status;Toggle State Label;
lbl.zoom.level;Zoom Level;
lbl.text.spacing;Text Spacing;
lbl.mac.os;macOS;
lbl.windows.linux;Windows / Linux;
lbl.voice.over;(Voice Over);
lbl.narrator;(Narrator);
lbl.keyboard.shortcut;Keyboard Shortcuts;
lbl.reading.line;Reading Line;
lbl.screen.reader;Screen Reader;
lbl.highlight.info;Highlight Critical Information;
lbl.dyslexic.font;Dyslexia Friendly;
lbl.toast.notification;Toast Notifications;
lbl.toast.notification.view;Toast Notification View;
lbl.time.control;Timing Controls;
lbl.success.info.toast;Success and Info Toasts;
lbl.warning.error.toast;Warning and Error Toasts;
lbl.timeout.duration;Timeout Duration;
lbl.auto.close;Auto Close;
lbl.manual.close;Manual Close;
lbl.emphasize.focus;Emphasize Focus Area;
lbl.configure;Configure;
lbl.reset.to.default;Reset to Default;
lbl.skip.to.main.content;Skip to Main Content;
